Ages,Gender,Height,Weight,Activity Level,Dietary Preference,Daily Calorie Target,Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion
66,Male,177,80,Sedentary,Omnivore,1897,Tofu scramble with veggies,Lentil soup with whole wheat bread,Vegetable stir-fry with brown rice,Greek yogurt with fruit
70,Male,169,64,Sedentary,Vegetarian,2121,Smoothie with protein powder,Quinoa salad with chickpeas and vegetables,Lentil and vegetable curry,Banana with peanut butter
55,Male,192,68,Moderately Active,Vegan,2995,Smoothie with protein powder,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Fruit and nut mix
18,Female,165,54,Extremely Active,Vegetarian,2008,Oatmeal with berries and nuts,Quinoa salad with chickpeas and vegetables,Salmon with roasted vegetables,Greek yogurt with fruit
40,Male,156,89,Lightly Active,Vegetarian,2796,Smoothie with protein powder,Quinoa salad with chickpeas and vegetables,Salmon with roasted vegetables,Apple with almond butter
44,Male,182,78,Very Active,Omnivore,2936,Greek yogurt with granola and fruit,Quinoa salad with chickpeas and vegetables,Vegetable stir-fry with brown rice,Trail mix
21,Female,176,57,Extremely Active,Omnivore,3167,Greek yogurt with granola and fruit,Quinoa salad with chickpeas and vegetables,Salmon with roasted vegetables,Banana with peanut butter
49,Female,186,57,Sedentary,Vegetarian,2091,Oatmeal with berries and nuts,Chicken and vegetable stir-fry,Pasta with marinara sauce and veggies,Fruit and nut mix
67,Female,196,62,Sedentary,Vegetarian,2118,Greek yogurt with granola and fruit,Black bean burger on a whole wheat bun,Pasta with marinara sauce and veggies,Trail mix
19,Male,185,68,Extremely Active,Vegan,3317,Smoothie with protein powder,Quinoa salad with chickpeas and vegetables,Salmon with roasted vegetables,Trail mix
27,Female,189,66,Very Active,Vegetarian,3165,Greek yogurt with granola and fruit,Grilled chicken salad with mixed greens,Turkey chili with brown rice,Apple with almond butter
19,Male,163,100,Lightly Active,Omnivore,3152,Scrambled eggs with whole wheat toast,Black bean burger on a whole wheat bun,Salmon with roasted vegetables,Banana with peanut butter
53,Male,189,58,Extremely Active,Vegetarian,2852,Greek yogurt with granola and fruit,Quinoa salad with chickpeas and vegetables,Pasta with marinara sauce and veggies,Trail mix
65,Male,158,84,Extremely Active,Omnivore,3364,Smoothie with protein powder,Quinoa salad with chickpeas and vegetables,Turkey chili with brown rice,Greek yogurt with fruit
37,Female,152,98,Sedentary,Vegetarian,1900,Oatmeal with berries and nuts,Lentil soup with whole wheat bread,Turkey chili with brown rice,Greek yogurt with fruit
69,Male,194,62,Extremely Active,Vegetarian,2335,Oatmeal with berries and nuts,Lentil soup with whole wheat bread,Lentil and vegetable curry,Fruit and nut mix
43,Male,173,52,Extremely Active,Omnivore,2143,Scrambled eggs with whole wheat toast,Chicken and vegetable stir-fry,Pasta with marinara sauce and veggies,Banana with peanut butter
62,Female,195,90,Extremely Active,Omnivore,3130,Oatmeal with berries and nuts,Quinoa salad with chickpeas and vegetables,Lentil and vegetable curry,Greek yogurt with fruit
19,Female,174,100,Moderately Active,Vegetarian,2338,Smoothie with protein powder,Grilled chicken salad with mixed greens,Vegetable stir-fry with brown rice,Trail mix
47,Female,162,84,Very Active,Vegetarian,2512,Oatmeal with berries and nuts,Chicken and vegetable stir-fry,Vegetable stir-fry with brown rice,Trail mix
19,Male,166,52,Lightly Active,Vegan,2017,Oatmeal with berries and nuts,Quinoa salad with chickpeas and vegetables,Pasta with marinara sauce and veggies,Trail mix
52,Male,179,62,Extremely Active,Vegetarian,2819,Greek yogurt with granola and fruit,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Apple with almond butter
64,Female,182,93,Very Active,Omnivore,2236,Scrambled eggs with whole wheat toast,Grilled chicken salad with mixed greens,Lentil and vegetable curry,Apple with almond butter
29,Female,181,85,Extremely Active,Vegan,3182,Oatmeal with berries and nuts,Black bean burger on a whole wheat bun,Salmon with roasted vegetables,Banana with peanut butter
46,Female,175,75,Extremely Active,Omnivore,2760,Scrambled eggs with whole wheat toast,Chicken and vegetable stir-fry,Turkey chili with brown rice,Apple with almond butter
25,Female,160,61,Lightly Active,Vegan,2320,Tofu scramble with veggies,Quinoa salad with chickpeas and vegetables,Salmon with roasted vegetables,Trail mix
28,Female,175,76,Extremely Active,Vegetarian,3450,Greek yogurt with granola and fruit,Chicken and vegetable stir-fry,Salmon with roasted vegetables,Trail mix
49,Female,198,76,Lightly Active,Omnivore,1688,Smoothie with protein powder,Lentil soup with whole wheat bread,Pasta with marinara sauce and veggies,Trail mix
40,Female,183,58,Sedentary,Omnivore,2135,Tofu scramble with veggies,Chicken and vegetable stir-fry,Salmon with roasted vegetables,Greek yogurt with fruit
69,Female,161,85,Extremely Active,Omnivore,2565,Greek yogurt with granola and fruit,Chicken and vegetable stir-fry,Salmon with roasted vegetables,Greek yogurt with fruit
54,Female,179,57,Moderately Active,Vegan,1949,Tofu scramble with veggies,Quinoa salad with chickpeas and vegetables,Pasta with marinara sauce and veggies,Fruit and nut mix
27,Male,185,52,Moderately Active,Omnivore,2396,Tofu scramble with veggies,Quinoa salad with chickpeas and vegetables,Vegetable stir-fry with brown rice,Banana with peanut butter
24,Male,198,87,Sedentary,Vegetarian,1891,Tofu scramble with veggies,Quinoa salad with chickpeas and vegetables,Salmon with roasted vegetables,Banana with peanut butter
42,Male,154,86,Lightly Active,Vegetarian,1724,Oatmeal with berries and nuts,Quinoa salad with chickpeas and vegetables,Pasta with marinara sauce and veggies,Fruit and nut mix
57,Female,167,72,Lightly Active,Vegan,1811,Oatmeal with berries and nuts,Black bean burger on a whole wheat bun,Lentil and vegetable curry,Banana with peanut butter
60,Male,181,94,Moderately Active,Vegan,2753,Tofu scramble with veggies,Quinoa salad with chickpeas and vegetables,Turkey chili with brown rice,Fruit and nut mix
27,Male,167,62,Sedentary,Omnivore,1840,Tofu scramble with veggies,Lentil soup with whole wheat bread,Lentil and vegetable curry,Trail mix
45,Male,193,86,Moderately Active,Vegan,3361,Scrambled eggs with whole wheat toast,Grilled chicken salad with mixed greens,Lentil and vegetable curry,Fruit and nut mix
37,Male,168,64,Lightly Active,Vegan,2076,Greek yogurt with granola and fruit,Black bean burger on a whole wheat bun,Pasta with marinara sauce and veggies,Banana with peanut butter
29,Male,155,69,Lightly Active,Vegan,1588,Oatmeal with berries and nuts,Black bean burger on a whole wheat bun,Pasta with marinara sauce and veggies,Fruit and nut mix
50,Male,193,99,Lightly Active,Vegetarian,3182,Smoothie with protein powder,Quinoa salad with chickpeas and vegetables,Pasta with marinara sauce and veggies,Fruit and nut mix
52,Female,159,76,Moderately Active,Vegan,2065,Smoothie with protein powder,Lentil soup with whole wheat bread,Pasta with marinara sauce and veggies,Fruit and nut mix
61,Female,192,93,Extremely Active,Vegan,2661,Oatmeal with berries and nuts,Black bean burger on a whole wheat bun,Lentil and vegetable curry,Trail mix
41,Male,166,66,Very Active,Omnivore,2583,Tofu scramble with veggies,Chicken and vegetable stir-fry,Turkey chili with brown rice,Fruit and nut mix
40,Male,165,66,Moderately Active,Omnivore,1819,Oatmeal with berries and nuts,Lentil soup with whole wheat bread,Pasta with marinara sauce and veggies,Greek yogurt with fruit
37,Female,194,50,Sedentary,Omnivore,2139,Oatmeal with berries and nuts,Lentil soup with whole wheat bread,Turkey chili with brown rice,Banana with peanut butter
44,Male,156,78,Moderately Active,Omnivore,2887,Oatmeal with berries and nuts,Chicken and vegetable stir-fry,Salmon with roasted vegetables,Greek yogurt with fruit
36,Male,165,82,Extremely Active,Vegetarian,2684,Scrambled eggs with whole wheat toast,Grilled chicken salad with mixed greens,Lentil and vegetable curry,Trail mix
56,Male,184,69,Moderately Active,Vegetarian,2925,Greek yogurt with granola and fruit,Quinoa salad with chickpeas and vegetables,Salmon with roasted vegetables,Greek yogurt with fruit
20,Female,156,96,Lightly Active,Vegetarian,2801,Greek yogurt with granola and fruit,Black bean burger on a whole wheat bun,Vegetable stir-fry with brown rice,Fruit and nut mix
52,Female,172,54,Sedentary,Vegetarian,1432,Smoothie with protein powder,Grilled chicken salad with mixed greens,Pasta with marinara sauce and veggies,Trail mix
47,Male,155,80,Very Active,Vegan,2654,Greek yogurt with granola and fruit,Grilled chicken salad with mixed greens,Turkey chili with brown rice,Fruit and nut mix
23,Female,181,95,Extremely Active,Vegetarian,2929,Greek yogurt with granola and fruit,Chicken and vegetable stir-fry,Pasta with marinara sauce and veggies,Trail mix
41,Male,170,90,Extremely Active,Vegan,3348,Smoothie with protein powder,Grilled chicken salad with mixed greens,Lentil and vegetable curry,Trail mix
65,Male,163,73,Moderately Active,Vegan,1714,Scrambled eggs with whole wheat toast,Grilled chicken salad with mixed greens,Pasta with marinara sauce and veggies,Apple with almond butter
39,Male,191,86,Moderately Active,Omnivore,3388,Tofu scramble with veggies,Grilled chicken salad with mixed greens,Pasta with marinara sauce and veggies,Banana with peanut butter
32,Male,188,81,Sedentary,Vegan,1696,Smoothie with protein powder,Lentil soup with whole wheat bread,Pasta with marinara sauce and veggies,Greek yogurt with fruit
29,Female,179,79,Extremely Active,Vegetarian,2545,Oatmeal with berries and nuts,Lentil soup with whole wheat bread,Turkey chili with brown rice,Trail mix
69,Male,199,60,Lightly Active,Vegetarian,1567,Smoothie with protein powder,Lentil soup with whole wheat bread,Lentil and vegetable curry,Fruit and nut mix
35,Male,181,56,Extremely Active,Omnivore,3390,Oatmeal with berries and nuts,Black bean burger on a whole wheat bun,Pasta with marinara sauce and veggies,Greek yogurt with fruit
21,Male,177,60,Moderately Active,Vegan,2489,Tofu scramble with veggies,Grilled chicken salad with mixed greens,Turkey chili with brown rice,Trail mix
49,Female,151,57,Very Active,Omnivore,1410,Oatmeal with berries and nuts,Black bean burger on a whole wheat bun,Lentil and vegetable curry,Trail mix
70,Female,186,83,Sedentary,Vegan,2277,Scrambled eggs with whole wheat toast,Lentil soup with whole wheat bread,Lentil and vegetable curry,Apple with almond butter
63,Female,186,96,Very Active,Omnivore,2840,Oatmeal with berries and nuts,Black bean burger on a whole wheat bun,Vegetable stir-fry with brown rice,Banana with peanut butter
42,Female,151,55,Extremely Active,Vegetarian,1633,Smoothie with protein powder,Quinoa salad with chickpeas and vegetables,Turkey chili with brown rice,Trail mix
49,Female,174,63,Lightly Active,Vegetarian,1303,Greek yogurt with granola and fruit,Grilled chicken salad with mixed greens,Pasta with marinara sauce and veggies,Trail mix
64,Female,182,54,Lightly Active,Vegetarian,1200,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Vegetable stir-fry with brown rice,Trail mix
21,Female,183,56,Very Active,Omnivore,2480,Tofu scramble with veggies,Grilled chicken salad with mixed greens,Turkey chili with brown rice,Greek yogurt with fruit
39,Male,166,67,Moderately Active,Vegan,2352,Greek yogurt with granola and fruit,Lentil soup with whole wheat bread,Lentil and vegetable curry,Apple with almond butter
38,Female,150,58,Lightly Active,Vegan,1603,Oatmeal with berries and nuts,Quinoa salad with chickpeas and vegetables,Vegetable stir-fry with brown rice,Apple with almond butter
69,Female,179,58,Lightly Active,Vegan,1640,Tofu scramble with veggies,Chicken and vegetable stir-fry,Vegetable stir-fry with brown rice,Apple with almond butter
57,Female,188,59,Very Active,Omnivore,2275,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Pasta with marinara sauce and veggies,Apple with almond butter
43,Female,169,52,Extremely Active,Vegetarian,2280,Smoothie with protein powder,Black bean burger on a whole wheat bun,Pasta with marinara sauce and veggies,Greek yogurt with fruit
42,Female,187,58,Lightly Active,Vegetarian,2394,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Turkey chili with brown rice,Apple with almond butter
28,Male,186,83,Lightly Active,Omnivore,2054,Smoothie with protein powder,Quinoa salad with chickpeas and vegetables,Pasta with marinara sauce and veggies,Apple with almond butter
20,Female,153,96,Very Active,Vegan,3355,Oatmeal with berries and nuts,Lentil soup with whole wheat bread,Salmon with roasted vegetables,Apple with almond butter
41,Female,159,74,Moderately Active,Vegan,2620,Scrambled eggs with whole wheat toast,Black bean burger on a whole wheat bun,Salmon with roasted vegetables,Apple with almond butter
18,Female,168,75,Extremely Active,Vegetarian,2943,Tofu scramble with veggies,Chicken and vegetable stir-fry,Vegetable stir-fry with brown rice,Trail mix
66,Female,195,94,Extremely Active,Vegan,2668,Tofu scramble with veggies,Black bean burger on a whole wheat bun,Turkey chili with brown rice,Trail mix
37,Male,180,51,Lightly Active,Vegan,2500,Smoothie with protein powder,Black bean burger on a whole wheat bun,Turkey chili with brown rice,Greek yogurt with fruit
46,Female,169,100,Very Active,Omnivore,2872,Greek yogurt with granola and fruit,Chicken and vegetable stir-fry,Salmon with roasted vegetables,Apple with almond butter
34,Female,163,57,Lightly Active,Vegan,2229,Oatmeal with berries and nuts,Quinoa salad with chickpeas and vegetables,Pasta with marinara sauce and veggies,Fruit and nut mix
56,Female,180,75,Very Active,Omnivore,1973,Tofu scramble with veggies,Chicken and vegetable stir-fry,Lentil and vegetable curry,Apple with almond butter
70,Male,196,84,Sedentary,Vegetarian,2564,Oatmeal with berries and nuts,Lentil soup with whole wheat bread,Pasta with marinara sauce and veggies,Banana with peanut butter
66,Male,158,98,Sedentary,Omnivore,1471,Greek yogurt with granola and fruit,Lentil soup with whole wheat bread,Pasta with marinara sauce and veggies,Fruit and nut mix
50,Female,162,78,Sedentary,Omnivore,2157,Greek yogurt with granola and fruit,Black bean burger on a whole wheat bun,Vegetable stir-fry with brown rice,Greek yogurt with fruit
23,Female,193,98,Moderately Active,Vegan,3460,Smoothie with protein powder,Black bean burger on a whole wheat bun,Turkey chili with brown rice,Fruit and nut mix
33,Female,165,82,Extremely Active,Vegan,2897,Greek yogurt with granola and fruit,Lentil soup with whole wheat bread,Turkey chili with brown rice,Apple with almond butter
23,Female,193,76,Sedentary,Vegetarian,1528,Greek yogurt with granola and fruit,Quinoa salad with chickpeas and vegetables,Lentil and vegetable curry,Fruit and nut mix
40,Male,152,82,Sedentary,Vegetarian,1390,Greek yogurt with granola and fruit,Chicken and vegetable stir-fry,Turkey chili with brown rice,Greek yogurt with fruit
20,Male,166,94,Lightly Active,Vegan,2088,Tofu scramble with veggies,Quinoa salad with chickpeas and vegetables,Pasta with marinara sauce and veggies,Trail mix
21,Female,170,59,Extremely Active,Omnivore,2634,Oatmeal with berries and nuts,Lentil soup with whole wheat bread,Lentil and vegetable curry,Banana with peanut butter
33,Male,173,77,Very Active,Vegetarian,2917,Smoothie with protein powder,Lentil soup with whole wheat bread,Vegetable stir-fry with brown rice,Trail mix
41,Male,199,52,Extremely Active,Vegan,2471,Greek yogurt with granola and fruit,Chicken and vegetable stir-fry,Salmon with roasted vegetables,Banana with peanut butter
63,Male,188,100,Moderately Active,Omnivore,2890,Smoothie with protein powder,Quinoa salad with chickpeas and vegetables,Pasta with marinara sauce and veggies,Apple with almond butter
69,Male,171,99,Extremely Active,Omnivore,3765,Smoothie with protein powder,Lentil soup with whole wheat bread,Lentil and vegetable curry,Apple with almond butter
43,Male,169,64,Moderately Active,Vegetarian,1803,Smoothie with protein powder,Black bean burger on a whole wheat bun,Turkey chili with brown rice,Greek yogurt with fruit
51,Female,193,100,Very Active,Vegan,2588,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Turkey chili with brown rice,Greek yogurt with fruit
41,Female,153,56,Moderately Active,Vegan,1782,Smoothie with protein powder,Chicken and vegetable stir-fry,Salmon with roasted vegetables,Greek yogurt with fruit
64,Female,182,70,Extremely Active,Vegetarian,2077,Smoothie with protein powder,Black bean burger on a whole wheat bun,Salmon with roasted vegetables,Fruit and nut mix
40,Female,199,58,Sedentary,Vegan,2255,Smoothie with protein powder,Grilled chicken salad with mixed greens,Vegetable stir-fry with brown rice,Apple with almond butter
67,Male,161,89,Sedentary,Vegan,2379,Scrambled eggs with whole wheat toast,Quinoa salad with chickpeas and vegetables,Lentil and vegetable curry,Apple with almond butter
21,Male,188,84,Extremely Active,Omnivore,3638,Tofu scramble with veggies,Grilled chicken salad with mixed greens,Lentil and vegetable curry,Greek yogurt with fruit
52,Female,193,90,Lightly Active,Vegan,2817,Scrambled eggs with whole wheat toast,Grilled chicken salad with mixed greens,Pasta with marinara sauce and veggies,Trail mix
21,Male,165,72,Moderately Active,Vegan,2059,Oatmeal with berries and nuts,Quinoa salad with chickpeas and vegetables,Vegetable stir-fry with brown rice,Apple with almond butter
25,Male,153,50,Very Active,Vegan,1805,Tofu scramble with veggies,Black bean burger on a whole wheat bun,Turkey chili with brown rice,Banana with peanut butter
58,Male,151,80,Lightly Active,Vegan,2005,Oatmeal with berries and nuts,Black bean burger on a whole wheat bun,Turkey chili with brown rice,Banana with peanut butter
19,Male,177,67,Moderately Active,Vegetarian,3113,Smoothie with protein powder,Chicken and vegetable stir-fry,Turkey chili with brown rice,Apple with almond butter
32,Male,161,58,Sedentary,Omnivore,1717,Tofu scramble with veggies,Chicken and vegetable stir-fry,Vegetable stir-fry with brown rice,Apple with almond butter
55,Female,194,65,Very Active,Vegetarian,2960,Tofu scramble with veggies,Lentil soup with whole wheat bread,Turkey chili with brown rice,Trail mix
37,Female,198,87,Sedentary,Vegan,2113,Oatmeal with berries and nuts,Quinoa salad with chickpeas and vegetables,Vegetable stir-fry with brown rice,Trail mix
30,Male,179,78,Extremely Active,Vegetarian,3332,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Apple with almond butter
52,Male,175,98,Lightly Active,Omnivore,2000,Greek yogurt with granola and fruit,Grilled chicken salad with mixed greens,Pasta with marinara sauce and veggies,Greek yogurt with fruit
42,Female,168,58,Extremely Active,Vegan,2392,Scrambled eggs with whole wheat toast,Black bean burger on a whole wheat bun,Salmon with roasted vegetables,Banana with peanut butter
56,Female,157,84,Moderately Active,Omnivore,1639,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Turkey chili with brown rice,Trail mix
24,Male,188,51,Moderately Active,Omnivore,2933,Scrambled eggs with whole wheat toast,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Apple with almond butter
18,Female,198,91,Extremely Active,Omnivore,3103,Tofu scramble with veggies,Lentil soup with whole wheat bread,Vegetable stir-fry with brown rice,Banana with peanut butter
19,Male,191,93,Very Active,Vegan,3008,Tofu scramble with veggies,Lentil soup with whole wheat bread,Lentil and vegetable curry,Banana with peanut butter
47,Female,190,78,Sedentary,Omnivore,1885,Smoothie with protein powder,Quinoa salad with chickpeas and vegetables,Turkey chili with brown rice,Apple with almond butter
29,Female,153,88,Extremely Active,Vegetarian,2907,Scrambled eggs with whole wheat toast,Grilled chicken salad with mixed greens,Lentil and vegetable curry,Fruit and nut mix
47,Male,175,90,Extremely Active,Vegan,2851,Greek yogurt with granola and fruit,Black bean burger on a whole wheat bun,Pasta with marinara sauce and veggies,Banana with peanut butter
69,Female,162,98,Extremely Active,Omnivore,2824,Smoothie with protein powder,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Trail mix
69,Male,195,84,Moderately Active,Vegetarian,3164,Scrambled eggs with whole wheat toast,Lentil soup with whole wheat bread,Lentil and vegetable curry,Fruit and nut mix
44,Female,152,60,Extremely Active,Vegan,2721,Greek yogurt with granola and fruit,Lentil soup with whole wheat bread,Lentil and vegetable curry,Trail mix
56,Female,199,88,Moderately Active,Vegetarian,2608,Tofu scramble with veggies,Quinoa salad with chickpeas and vegetables,Vegetable stir-fry with brown rice,Greek yogurt with fruit
23,Female,151,74,Lightly Active,Vegan,1435,Greek yogurt with granola and fruit,Quinoa salad with chickpeas and vegetables,Pasta with marinara sauce and veggies,Apple with almond butter
60,Female,188,82,Extremely Active,Vegetarian,3414,Tofu scramble with veggies,Chicken and vegetable stir-fry,Lentil and vegetable curry,Apple with almond butter
60,Male,174,61,Very Active,Vegetarian,2919,Tofu scramble with veggies,Chicken and vegetable stir-fry,Vegetable stir-fry with brown rice,Banana with peanut butter
35,Male,167,91,Moderately Active,Vegetarian,2264,Greek yogurt with granola and fruit,Lentil soup with whole wheat bread,Turkey chili with brown rice,Greek yogurt with fruit
32,Female,180,94,Extremely Active,Vegan,2813,Smoothie with protein powder,Quinoa salad with chickpeas and vegetables,Lentil and vegetable curry,Greek yogurt with fruit
34,Male,197,84,Sedentary,Vegan,2787,Tofu scramble with veggies,Black bean burger on a whole wheat bun,Pasta with marinara sauce and veggies,Trail mix
42,Female,183,82,Sedentary,Omnivore,1911,Oatmeal with berries and nuts,Quinoa salad with chickpeas and vegetables,Vegetable stir-fry with brown rice,Fruit and nut mix
47,Male,168,89,Moderately Active,Vegan,2650,Oatmeal with berries and nuts,Quinoa salad with chickpeas and vegetables,Salmon with roasted vegetables,Trail mix
24,Male,166,80,Sedentary,Vegetarian,2067,Scrambled eggs with whole wheat toast,Black bean burger on a whole wheat bun,Lentil and vegetable curry,Banana with peanut butter
41,Female,161,66,Moderately Active,Omnivore,1515,Tofu scramble with veggies,Grilled chicken salad with mixed greens,Turkey chili with brown rice,Apple with almond butter
60,Male,150,57,Lightly Active,Vegetarian,1667,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Apple with almond butter
47,Female,188,54,Lightly Active,Vegetarian,1813,Tofu scramble with veggies,Chicken and vegetable stir-fry,Lentil and vegetable curry,Banana with peanut butter
39,Male,181,97,Lightly Active,Vegan,2127,Smoothie with protein powder,Black bean burger on a whole wheat bun,Vegetable stir-fry with brown rice,Apple with almond butter
37,Female,181,81,Moderately Active,Vegan,1972,Oatmeal with berries and nuts,Lentil soup with whole wheat bread,Pasta with marinara sauce and veggies,Greek yogurt with fruit
67,Male,188,72,Lightly Active,Omnivore,2651,Smoothie with protein powder,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Fruit and nut mix
23,Female,188,56,Sedentary,Vegetarian,1250,Scrambled eggs with whole wheat toast,Quinoa salad with chickpeas and vegetables,Turkey chili with brown rice,Trail mix
66,Female,177,85,Lightly Active,Vegetarian,2014,Smoothie with protein powder,Grilled chicken salad with mixed greens,Turkey chili with brown rice,Apple with almond butter
38,Female,179,65,Lightly Active,Vegan,1449,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Vegetable stir-fry with brown rice,Fruit and nut mix
46,Female,165,67,Moderately Active,Vegetarian,2030,Tofu scramble with veggies,Grilled chicken salad with mixed greens,Turkey chili with brown rice,Greek yogurt with fruit
51,Male,189,60,Sedentary,Vegetarian,1837,Tofu scramble with veggies,Lentil soup with whole wheat bread,Pasta with marinara sauce and veggies,Trail mix
52,Male,191,57,Moderately Active,Vegetarian,2838,Scrambled eggs with whole wheat toast,Chicken and vegetable stir-fry,Vegetable stir-fry with brown rice,Apple with almond butter
30,Male,175,56,Very Active,Omnivore,3102,Tofu scramble with veggies,Black bean burger on a whole wheat bun,Pasta with marinara sauce and veggies,Apple with almond butter
68,Male,198,79,Lightly Active,Vegetarian,2327,Oatmeal with berries and nuts,Lentil soup with whole wheat bread,Pasta with marinara sauce and veggies,Fruit and nut mix
57,Male,185,77,Moderately Active,Omnivore,2051,Greek yogurt with granola and fruit,Quinoa salad with chickpeas and vegetables,Salmon with roasted vegetables,Greek yogurt with fruit
30,Male,180,60,Extremely Active,Vegan,3502,Tofu scramble with veggies,Quinoa salad with chickpeas and vegetables,Pasta with marinara sauce and veggies,Fruit and nut mix
67,Female,189,59,Sedentary,Omnivore,2030,Scrambled eggs with whole wheat toast,Quinoa salad with chickpeas and vegetables,Vegetable stir-fry with brown rice,Greek yogurt with fruit
65,Male,156,54,Extremely Active,Vegan,1770,Smoothie with protein powder,Quinoa salad with chickpeas and vegetables,Lentil and vegetable curry,Greek yogurt with fruit
33,Male,153,95,Very Active,Vegan,3012,Scrambled eggs with whole wheat toast,Chicken and vegetable stir-fry,Lentil and vegetable curry,Apple with almond butter
18,Male,183,71,Sedentary,Vegan,2122,Greek yogurt with granola and fruit,Black bean burger on a whole wheat bun,Turkey chili with brown rice,Apple with almond butter
43,Female,194,94,Moderately Active,Omnivore,2253,Greek yogurt with granola and fruit,Quinoa salad with chickpeas and vegetables,Pasta with marinara sauce and veggies,Greek yogurt with fruit
46,Female,192,97,Very Active,Omnivore,3068,Scrambled eggs with whole wheat toast,Chicken and vegetable stir-fry,Vegetable stir-fry with brown rice,Fruit and nut mix
24,Female,186,67,Sedentary,Vegan,1861,Smoothie with protein powder,Chicken and vegetable stir-fry,Vegetable stir-fry with brown rice,Trail mix
23,Male,179,80,Moderately Active,Vegetarian,2303,Smoothie with protein powder,Grilled chicken salad with mixed greens,Lentil and vegetable curry,Fruit and nut mix
60,Female,154,89,Lightly Active,Vegan,2413,Scrambled eggs with whole wheat toast,Chicken and vegetable stir-fry,Turkey chili with brown rice,Trail mix
18,Male,193,78,Lightly Active,Vegetarian,3114,Scrambled eggs with whole wheat toast,Chicken and vegetable stir-fry,Vegetable stir-fry with brown rice,Banana with peanut butter
42,Female,174,83,Very Active,Vegetarian,3167,Smoothie with protein powder,Quinoa salad with chickpeas and vegetables,Pasta with marinara sauce and veggies,Apple with almond butter
43,Female,189,67,Lightly Active,Vegan,1528,Tofu scramble with veggies,Lentil soup with whole wheat bread,Lentil and vegetable curry,Fruit and nut mix
36,Male,194,90,Lightly Active,Omnivore,2664,Scrambled eggs with whole wheat toast,Chicken and vegetable stir-fry,Vegetable stir-fry with brown rice,Greek yogurt with fruit
57,Male,158,55,Sedentary,Omnivore,1200,Smoothie with protein powder,Chicken and vegetable stir-fry,Pasta with marinara sauce and veggies,Fruit and nut mix
29,Male,164,63,Lightly Active,Vegetarian,2583,Oatmeal with berries and nuts,Lentil soup with whole wheat bread,Salmon with roasted vegetables,Fruit and nut mix
34,Male,200,63,Sedentary,Omnivore,2058,Greek yogurt with granola and fruit,Black bean burger on a whole wheat bun,Lentil and vegetable curry,Banana with peanut butter
63,Male,181,59,Lightly Active,Vegetarian,1940,Tofu scramble with veggies,Quinoa salad with chickpeas and vegetables,Salmon with roasted vegetables,Fruit and nut mix
49,Female,153,54,Sedentary,Omnivore,1308,Smoothie with protein powder,Chicken and vegetable stir-fry,Lentil and vegetable curry,Apple with almond butter
36,Female,183,61,Sedentary,Vegan,2195,Scrambled eggs with whole wheat toast,Lentil soup with whole wheat bread,Turkey chili with brown rice,Apple with almond butter
27,Female,172,68,Lightly Active,Vegan,2506,Oatmeal with berries and nuts,Black bean burger on a whole wheat bun,Lentil and vegetable curry,Trail mix
69,Male,181,74,Moderately Active,Omnivore,1873,Scrambled eggs with whole wheat toast,Quinoa salad with chickpeas and vegetables,Pasta with marinara sauce and veggies,Fruit and nut mix
45,Female,195,88,Lightly Active,Vegan,2855,Tofu scramble with veggies,Black bean burger on a whole wheat bun,Lentil and vegetable curry,Trail mix
65,Female,190,78,Lightly Active,Vegetarian,2537,Scrambled eggs with whole wheat toast,Quinoa salad with chickpeas and vegetables,Vegetable stir-fry with brown rice,Trail mix
62,Male,200,73,Very Active,Vegetarian,3389,Scrambled eggs with whole wheat toast,Black bean burger on a whole wheat bun,Pasta with marinara sauce and veggies,Greek yogurt with fruit
66,Male,161,69,Sedentary,Vegetarian,1645,Oatmeal with berries and nuts,Chicken and vegetable stir-fry,Salmon with roasted vegetables,Trail mix
36,Female,196,89,Extremely Active,Vegetarian,3370,Smoothie with protein powder,Black bean burger on a whole wheat bun,Turkey chili with brown rice,Banana with peanut butter
48,Male,173,82,Sedentary,Vegan,1499,Oatmeal with berries and nuts,Black bean burger on a whole wheat bun,Salmon with roasted vegetables,Apple with almond butter
31,Male,172,67,Sedentary,Vegan,1914,Smoothie with protein powder,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Fruit and nut mix
58,Female,182,70,Sedentary,Vegan,1200,Smoothie with protein powder,Lentil soup with whole wheat bread,Salmon with roasted vegetables,Fruit and nut mix
